flow_cfs,floodplain_acres,watershed
250,0,Stanislaus River
500,3.3102,Stanislaus River
750,7.5537,Stanislaus River
1000,12.4215,Stanislaus River
1250,40.4797,Stanislaus River
1500,103.8842,Stanislaus River
1750,150.4204,Stanislaus River
2000,183.3293,Stanislaus River
2001,183.4775,Stanislaus River
2500,257.4278,Stanislaus River
3000,364.8687,Stanislaus River
3500,419.6154,Stanislaus River
4000,502.6534,Stanislaus River
4500,623.298,Stanislaus River
5000,810.1377,Stanislaus River
