flow_cfs,floodplain_acres,watershed
770,0,Deer Creek
870,2.6,Deer Creek
970,7.63,Deer Creek
1070,11.86,Deer Creek
1170,16.4,Deer Creek
1270,20.41,Deer Creek
1370,24.69,Deer Creek
1470,28.74,Deer Creek
1570,32.65,Deer Creek
1670,36,Deer Creek
1770,39.22,Deer Creek
1870,42.24,Deer Creek
1970,44.91,Deer Creek
2070,47.72,Deer Creek
2170,49.91,Deer Creek
2270,52.11,Deer Creek
2370,54.02,Deer Creek
2470,56.11,Deer Creek
2570,58.13,Deer Creek
2670,60.1,Deer Creek
2770,61.98,Deer Creek
2870,63.5,Deer Creek
