flow_cfs,floodplain_acres,watershed
2795.44,0,Thomes Creek
2927.86,9.9,Thomes Creek
3060.27,22.22,Thomes Creek
3192.69,32.28,Thomes Creek
3325.11,40.56,Thomes Creek
3457.52,48.9,Thomes Creek
3589.94,55.96,Thomes Creek
3722.35,63.73,Thomes Creek
