flow_cfs,floodplain_acres,watershed
200,0,American River
1200,0,American River
2200,6,American River
3200,159.88,American River
4200,228.01,American River
5200,268.52,American River
5570,294.31,American River
6200,338.22,American River
7200,390.14,American River
8200,454.76,American River
9200,499.83,American River
10200,534.65,American River
11200,568.75,American River
12200,597.86,American River
13200,622.6,American River
14200,647.06,American River
15200,672.88,American River
16200,704.83,American River
17200,729.66,American River
18200,750.9,American River
19200,776.3,American River
20200,800.16,American River
21200,826.43,American River
22200,846.73,American River
23200,862.57,American River
24200,880.65,American River
25200,900.47,American River
26200,919.24,American River
27200,937.71,American River
28200,953.54,American River
29200,969.1,American River
30200,984.66,American River
31200,1000.22,American River
32200,1016.31,American River
33200,1032.4,American River
