flow_cfs,floodplain_acres,watershed
800,0,Yuba River
880,0.9942,Yuba River
930,1.6135,Yuba River
1000,2.4373,Yuba River
1300,5.6163,Yuba River
1500,27.1855,Yuba River
1700,42.2835,Yuba River
2000,65.6656,Yuba River
2500,100.3747,Yuba River
3000,137.4171,Yuba River
4000,206.148,Yuba River
5000,266.6243,Yuba River
7500,406.679,Yuba River
10000,555.8941,Yuba River
15000,875.1997,Yuba River
21100,1132.7503,Yuba River
30000,1389.4573,Yuba River
42200,1574.8585,Yuba River
84400,2201.1325,Yuba River
110400,2561.9083,Yuba River
