flow_cfs,floodplain_acres,reach,miles
7617.1224624284,320.8649705658,Battle Creek to Feather River,189.1
7868.3612625239,357.5594196684,Battle Creek to Feather River,189.1
8119.7202152165,374.0308370418,Battle Creek to Feather River,189.1
8331.7578579735,398.5600179847,Battle Creek to Feather River,189.1
8601.3350667939,417.9314723119,Battle Creek to Feather River,189.1
8896.4203117545,454.320078689,Battle Creek to Feather River,189.1
9138.4128973342,467.2364285547,Battle Creek to Feather River,189.1
9356.1300989981,494.957751532,Battle Creek to Feather River,189.1
9636.8305775883,536.7698467914,Battle Creek to Feather River,189.1
9861.0935010138,594.0587568289,Battle Creek to Feather River,189.1
10162.2061333343,641.9774693331,Battle Creek to Feather River,189.1
10392.6725220658,670.0488192015,Battle Creek to Feather River,189.1
10686.5376520754,720.9362929752,Battle Creek to Feather River,189.1
10855.9257275763,737.933759024,Battle Creek to Feather River,189.1
11108.6801854723,834.7363910105,Battle Creek to Feather River,189.1
11395.7582642533,834.983976185,Battle Creek to Feather River,189.1
11650.419301646,881.1309923935,Battle Creek to Feather River,189.1
11952.8494599088,909.5565241737,Battle Creek to Feather River,189.1
12197.9550796159,941.3335667351,Battle Creek to Feather River,189.1
12337.112570074,946.4000175789,Battle Creek to Feather River,189.1
12632.1374239623,994.1932344074,Battle Creek to Feather River,189.1
12799.4444224117,1092.228880705,Battle Creek to Feather River,189.1
13115.2910901718,1098.6570301076,Battle Creek to Feather River,189.1
13656.7701238967,1214.6234129646,Battle Creek to Feather River,189.1
14150.1871138478,1354.5039474407,Battle Creek to Feather River,189.1
14748.0636293833,1483.1052913748,Battle Creek to Feather River,189.1
15194.3926034709,1530.276054951,Battle Creek to Feather River,189.1
15832.2543550215,1830.3792295642,Battle Creek to Feather River,189.1
16218.612648348,1996.9903990765,Battle Creek to Feather River,189.1
16716.6871615577,2284.4129051013,Battle Creek to Feather River,189.1
17668.0298693941,2470.1838550446,Battle Creek to Feather River,189.1
18257.2224803197,3088.6911310318,Battle Creek to Feather River,189.1
19247.252101473,3620.6289374773,Battle Creek to Feather River,189.1
20515.776884542,4582.6548843402,Battle Creek to Feather River,189.1
21648.8009467438,5263.9098092588,Battle Creek to Feather River,189.1
22274.9507901956,5849.0797917572,Battle Creek to Feather River,189.1
23487.6850936307,6915.8692636079,Battle Creek to Feather River,189.1
24642.750022364,7188.4024972606,Battle Creek to Feather River,189.1
25655.0692867366,8427.425104341,Battle Creek to Feather River,189.1
26487.4461981155,8776.2011903119,Battle Creek to Feather River,189.1
27818.8994110806,9981.7118847688,Battle Creek to Feather River,189.1
28504.1183787572,10223.228025812,Battle Creek to Feather River,189.1
29792.0535648259,12198.9311857636,Battle Creek to Feather River,189.1
30769.0132365219,12602.627692677,Battle Creek to Feather River,189.1
31687.5824636212,13902.7799157852,Battle Creek to Feather River,189.1
32489.8233271708,15152.1556623371,Battle Creek to Feather River,189.1
33630.5018934876,16951.9600318522,Battle Creek to Feather River,189.1
34633.3779222328,17037.6426838052,Battle Creek to Feather River,189.1
35878.6280504532,17857.0990864548,Battle Creek to Feather River,189.1
36885.5407919847,18329.8526034239,Battle Creek to Feather River,189.1
39306.3765505725,21624.1691526322,Battle Creek to Feather River,189.1
40423.9777015744,22553.6035146462,Battle Creek to Feather River,189.1
42957.9561784351,25711.3430693806,Battle Creek to Feather River,189.1
44662.1748330153,27230.8266245963,Battle Creek to Feather River,189.1
46547.2611820134,29755.5973676898,Battle Creek to Feather River,189.1
48579.8748568702,32579.0276581157,Battle Creek to Feather River,189.1
50540.467992605,34810.9479182664,Battle Creek to Feather River,189.1
52773.6412720658,36394.7814682232,Battle Creek to Feather River,189.1
53538.9203721374,39398.6841658861,Battle Creek to Feather River,189.1
57500.6250536737,44380.7895647598,Battle Creek to Feather River,189.1
62265.5731691317,54439.7692426664,Battle Creek to Feather River,189.1
69472.8729067271,67977.3057696068,Battle Creek to Feather River,189.1
71505.59375,69325.4935450919,Battle Creek to Feather River,189.1
79031.2463501908,80522.0417152541,Battle Creek to Feather River,189.1
4355.3611415207,0.3191873973,Feather River to Freeport,33.4
4724.3955653488,0.3419864972,Feather River to Freeport,33.4
4830.5083054464,0.364785597,Feather River to Freeport,33.4
5451.6366130076,0.3998008463,Feather River to Freeport,33.4
6267.7718964595,0.4882208825,Feather River to Freeport,33.4
6747.7463674363,0.5066104197,Feather River to Freeport,33.4
7202.8082174313,0.5418869203,Feather River to Freeport,33.4
7781.5724584494,0.5784047436,Feather River to Freeport,33.4
8272.3450157992,0.5784047436,Feather River to Freeport,33.4
8740.5693608181,0.6486964938,Feather River to Freeport,33.4
9226.8102607484,0.6486964938,Feather River to Freeport,33.4
9695.9705693919,0.6837117431,Feather River to Freeport,33.4
10142.4063184216,1.6907940629,Feather River to Freeport,33.4
10399.620832504,1.6907940629,Feather River to Freeport,33.4
10651.8785237112,1.8276414679,Feather River to Freeport,33.4
10856.9804936306,1.8276414679,Feather River to Freeport,33.4
11090.2728403662,1.8276414679,Feather River to Freeport,33.4
11536.534811032,1.9533892315,Feather River to Freeport,33.4
11884.1066941182,2.0806395685,Feather River to Freeport,33.4
12250.744010002,2.0806395685,Feather River to Freeport,33.4
12677.9005585689,2.3261933983,Feather River to Freeport,33.4
13214.6857396994,2.3261933983,Feather River to Freeport,33.4
13732.7670711833,2.4438466677,Feather River to Freeport,33.4
14172.7946233081,2.5675441623,Feather River to Freeport,33.4
14740.7961285828,2.6827790196,Feather River to Freeport,33.4
15283.3929077926,2.8036599577,Feather River to Freeport,33.4
15833.2279558121,2.9188948151,Feather River to Freeport,33.4
16241.8418217556,3.0356322458,Feather River to Freeport,33.4
16725.5317600518,3.1506058516,Feather River to Freeport,33.4
17219.7842481091,3.1506058516,Feather River to Freeport,33.4
17642.8523337978,3.2601946274,Feather River to Freeport,33.4
18333.041276871,3.4762087436,Feather River to Freeport,33.4
18810.3610544387,3.5852750169,Feather River to Freeport,33.4
19225.7467282046,3.5852750169,Feather River to Freeport,33.4
19696.1058108579,3.6904590346,Feather River to Freeport,33.4
