WUA in square feet,Reach 6 – keswick to ACID; reach 5 ACID to Cow; reach 4 cow to battle; reach 3 battle to red bluff; add reach 2 redbluff to deer to represent spawning on upmid sac,,,,,,,,,,,,
flow_cfs,FR_spawn_WUA,LFR_spawn_WUA,WR_spawn_WUA,ST_spawn_WUA,FR_fry_WUA,LFR_fry_WUA,WR_fry_WUA,FR_juv_WUA,LFR_juv_WUA,WR_juv_WUA,Segment,length,length_unit
"10,000","256,327","189,577","307,267","82,855","104,426","60,459","65,698","37,076","38,119","41,241",6 ACID Boards In,3.5,mi
"11,000","238,470","177,870","307,201","84,251","95,446","58,733","64,633","34,063","35,184","38,968",6 ACID Boards In,3.5,mi
"12,000","220,851","166,374","303,648","83,876","88,085","59,996","66,160","30,739","31,910","36,216",6 ACID Boards In,3.5,mi
"13,000","205,842","156,696","295,249","83,428","91,375","74,698","80,855","29,083","30,177","34,564",6 ACID Boards In,3.5,mi
"14,000","192,505","148,170","283,910","82,611","87,409","73,769","80,919","27,158","28,562","34,576",6 ACID Boards In,3.5,mi
"15,000","182,153","140,914","271,951","82,097","90,042","74,339","78,212","31,129","32,293","37,671",6 ACID Boards In,3.5,mi
"17,000","163,256","126,497","244,438","79,760","86,402","76,754","81,821","28,782","30,354","37,324",6 ACID Boards In,3.5,mi
"19,000","146,967","112,883","215,785","77,114","82,893","75,058","80,226","27,553","29,406","37,315",6 ACID Boards In,3.5,mi
"21,000","132,965","99,213","186,998","73,916","78,424","66,050","71,811","26,312","28,315","36,706",6 ACID Boards In,3.5,mi
"23,000","121,006","86,254","159,577","70,348","83,106","66,757","74,101","25,107","27,104","35,401",6 ACID Boards In,3.5,mi
"25,000","110,053","73,820","132,926","66,074","78,347","62,515","69,986","23,509","26,223","33,698",6 ACID Boards In,3.5,mi
"27,000","99,515","62,537","108,407","61,106","55,137","31,216","31,016","21,667","22,789","27,513",6 ACID Boards In,3.5,mi
"29,000","90,279","52,018","85,780","56,262","66,993","46,912","47,975","24,657","26,206","32,662",6 ACID Boards In,3.5,mi
"31,000","82,157","42,909","69,615","52,360","53,124","33,104","33,113","22,530","23,620","28,267",6 ACID Boards In,3.5,mi
"3,250","279,956","268,782","372,493","67,290","72,315","63,213","62,510","34,312","32,405","22,447",6 ACID Boards Out,3.5,mi
"3,500","272,448","261,253","388,925","65,436","68,628","60,075","61,587","33,295","32,051","24,914",6 ACID Boards Out,3.5,mi
"3,750","263,774","252,885","402,996","63,843","66,279","59,449","63,932","31,988","31,081","25,426",6 ACID Boards Out,3.5,mi
"4,000","253,776","243,641","415,056","62,510","64,113","58,648","65,147","31,055","30,465","26,195",6 ACID Boards Out,3.5,mi
"4,250","244,038","234,676","424,360","61,329","61,732","57,559","66,305","30,136","29,827","26,789",6 ACID Boards Out,3.5,mi
"4,500","233,851","225,351","431,541","60,386","60,177","56,739","66,949","29,379","29,342","27,485",6 ACID Boards Out,3.5,mi
"4,750","223,342","215,899","437,056","59,758","59,378","56,387","67,333","28,944","29,126","28,213",6 ACID Boards Out,3.5,mi
"5,000","209,927","204,667","442,398","59,303","58,427","55,876","67,231","28,847","29,193","28,971",6 ACID Boards Out,3.5,mi
"5,250","200,688","196,217","443,784","59,004","58,166","56,023","67,097","28,440","28,980","29,599",6 ACID Boards Out,3.5,mi
"5,500","190,763","187,812","444,708","58,850","58,927","58,376","69,373","28,164","28,881","30,265",6 ACID Boards Out,3.5,mi
"6,000","170,499","170,393","439,809","58,699","59,343","49,141","51,326","30,478","31,218","32,732",6 ACID Boards Out,3.5,mi
"6,500","150,726","155,371","433,948","58,155","63,157","66,433","80,331","28,475","29,897","34,238",6 ACID Boards Out,3.5,mi
"7,000","132,377","140,981","422,490","57,329","62,489","65,639","79,961","28,098","29,770","35,186",6 ACID Boards Out,3.5,mi
"7,500","115,717","128,082","408,786","56,242","61,493","63,799","77,212","27,628","27,450","35,840",6 ACID Boards Out,3.5,mi
"8,000","101,484","116,970","392,377","54,809","60,438","61,399","73,080","26,865","28,940","36,137",6 ACID Boards Out,3.5,mi
"9,000","79,126","98,976","356,827","50,758","58,432","56,894","64,677","24,550","27,123","36,563",6 ACID Boards Out,3.5,mi
"10,000","62,728","85,662","321,193","45,616","57,788","51,378","59,050","22,332","25,045","35,236",6 ACID Boards Out,3.5,mi
"11,000","51,351","75,706","286,447","39,310","55,774","47,119","53,784","20,292","23,014","33,415",6 ACID Boards Out,3.5,mi
"12,000","42,696","67,373","254,558","32,430","57,211","48,462","53,414","19,089","21,683","31,665",6 ACID Boards Out,3.5,mi
"13,000","36,917","61,455","224,684","25,210","56,823","50,343","54,344","17,735","20,102","29,232",6 ACID Boards Out,3.5,mi
"14,000","32,772","56,614","198,570","18,296","58,566","55,029","57,910","16,760","18,985","27,607",6 ACID Boards Out,3.5,mi
"15,000","29,176","52,149","174,819","12,521","63,138","61,671","62,543","16,440","18,506","26,497",6 ACID Boards Out,3.5,mi
"17,000","25,704","45,751","136,442","5,818","86,067","86,812","76,423","19,641","21,517","28,682",6 ACID Boards Out,3.5,mi
"19,000","26,113","42,715","109,349","5,501","100,785","97,781","75,480","26,595","28,026","33,291",6 ACID Boards Out,3.5,mi
"21,000","26,971","40,391","90,598","6,581","108,899","107,577","78,090","28,248","29,576","34,294",6 ACID Boards Out,3.5,mi
"23,000","28,733","39,528","79,200","8,223","118,770","112,617","72,051","31,969","32,653","34,413",6 ACID Boards Out,3.5,mi
"25,000","41,981","50,939","77,130","14,618","103,218","98,770","68,940","33,532","33,637","32,749",6 ACID Boards Out,3.5,mi
"27,000","58,462","67,199","89,683","16,277","94,227","85,971","66,240","33,464","33,578","33,153",6 ACID Boards Out,3.5,mi
"29,000","65,025","73,542","111,038","15,394","85,474","77,267","70,944","29,884","30,420","32,045",6 ACID Boards Out,3.5,mi
"31,000","58,425","66,546","129,813","14,313","76,377","65,619","61,476","28,611","29,067","30,599",6 ACID Boards Out,3.5,mi
"3,250","517,564","493,885","569,220","152,613","1,488,562","1,432,767","562,621","525,086","473,650","231,314",5,18.5,mi
"3,500","540,135","516,656","596,120","158,337","1,461,855","1,414,343","565,676","516,053","465,747","229,338",5,18.5,mi
"3,750","557,335","533,387","619,524","160,323","1,491,153","1,453,482","587,342","506,828","458,037","228,916",5,18.5,mi
"4,000","571,053","546,578","640,059","160,020","1,478,401","1,448,174","595,624","500,017","452,442","229,221",5,18.5,mi
"4,250","584,449","558,157","661,485","159,272","1,447,835","1,417,933","599,940","500,224","452,547","228,786",5,18.5,mi
"4,500","594,577","565,434","681,914","160,379","1,400,085","1,374,481","599,860","494,892","448,229","229,045",5,18.5,mi
"4,750","599,845","568,889","700,715","160,244","1,340,046","1,319,663","593,713","484,521","439,214","226,453",5,18.5,mi
"5,000","601,840","568,857","715,521","160,132","1,276,515","1,257,237","578,626","472,800","428,767","222,136",5,18.5,mi
"5,250","600,180","565,753","727,117","161,281","1,219,383","1,196,392","567,184","462,554","419,607","218,408",5,18.5,mi
"5,500","596,697","560,241","740,184","163,485","1,162,671","1,133,768","555,131","453,031","411,171","215,916",5,18.5,mi
