Flow_cfs,Keswick_2_Battle_Ck_Pref11_ChanArea_Sq_ft,Battle_Ck_2_Feather_Rv_Pref11_ChanArea_Sq_ft,Feather_Rv_2_Freeport_Pref11_ChanArea_Sq_ft
2000,2044713.46284298,14424451.1493695,5234944.22315932
2500,1553317.20585296,12168391.4825038,4644048.42656373
3000,1489211.95953181,10692903.9377581,3829627.68627071
3500,1328913.77618753,8772051.70042204,3379127.66950821
4000,1828412.13008137,8359012.22775564,2921359.37116804
4500,2016530.1046493,7173676.20661564,2727076.15258792
5000,1758408.43891908,6585451.80384078,2482040.74203236
5500,1649539.80121161,7697241.37921481,2215396.94228786
6000,1436461.29867315,8406716.76644439,2238079.37028919
6500,1541697.67804802,6805660.8231778,2109761.68012663
7000,1380729.77539203,5358250.36715598,2156009.6350858
7500,1705214.13216004,4774061.63257869,2106833.7418831
8000,1790086.36085986,4175533.37599261,1817475.70820464
8500,1788580.00780807,3853036.36443087,1887509.91497071
9000,1265575.07366406,4225499.40988927,1670457.47572011
9500,965089.30425605,3970764.6722689,1637910.54460736
10000,1141796.93408939,4045285.90253028,1442715.03014614
10500,981511.51224671,4330002.41268137,1435782.02636737
11000,995234.464595207,4177203.09641039,1315902.37620095
11500,865833.661440028,3517543.23769855,1345899.68236418
12000,685622.108160022,2765087.87991984,1262600.60338655
12500,857096.575680593,3070044.2268614,966327.625554915
13000,722486.603520003,3093124.58036951,963267.966445366
13500,716186.803200026,2925938.98279302,872854.694888262
14000,896125.852173049,2973601.08334504,789465.842828693
14500,838659.709045509,2818156.00506787,768639.983590734
15000,767302.286066996,2933238.59767213,823120.379921088
15500,597181.640691001,2602252.71529085,839183.226728109
16000,507816.76492802,2711727.58076938,784111.648916866
16500,617160.916754994,3220045.20415209,752295.951869241
17000,551931.047373042,2502010.21959466,776809.416710944
17500,548563.032864018,2618257.89563333,687030.268633595
18000,597561.513837043,2669513.88182947,643188.085506985
18500,930381.559854934,3128606.48848791,652489.06172804
19000,873455.538573042,2715352.58561378,656047.064891518
19500,752892.433920009,2613894.81318256,647176.225023324
20000,912772.194048003,2858383.87892137,549328.533416577
20500,808964.69491201,3032970.20433729,581988.989683226
21000,785107.272576009,2678465.78988818,518978.146655902
21500,752892.433920009,2636012.04341707,544439.209816772
22000,752892.433920009,2536165.85973575,544447.746698523
22500,607731.315840001,2816719.0618664,514766.293153327
23000,858695.460480004,3148011.95193434,318133.003725425
23500,779612.10624001,2406773.71369554,331257.38772871
24000,501928.289280006,3066448.18052881,351285.802538579
24500,250964.144640003,3203181.37459727,347431.000128849
25000,364658.976000004,2954829.5553942,325492.679882605
25500,479782.758386975,2512599.7692104,347864.531559885
26000,489950.855666975,1729261.76144874,409525.970415662
26500,393468.584973029,1691634.01381107,422170.526087112
27000,402789.340800005,2332280.77894844,426771.45581222
27500,412110.096626981,2225502.09848678,452138.154801696
28000,671547.655680008,2308656.83118792,479311.126100658
28500,680868.411506984,2716691.91749725,429996.857461411
29000,568427.65056,2102506.0978124,440171.314870968
29500,580073.984498976,2576460.39712496,417371.673421511
30000,456171.851520006,2588242.60617769,424974.96434091
35000,250964.144640003,3102313.35293372,258494.7828112
40000,0,2205773.92515618,195739.143151554
45000,38270.7494399989,2265185.05294905,236488.059967167
50000,0,2230930.13815135,214672.270235787
55000,0,1608786.18599271,179706.473352928
60000,0,1682369.03581771,151262.522518504
65000,0,972755.867377325,76498.9157446906
70000,0,1279519.83448608,201197.381822759
75000,0,552927.548627046,38855.9146805279
80000,0,456165.631257602,173131.723120029
85000,0,1175008.62228419,155526.988887336
90000,0,497101.781865482,319212.598476177
95000,0,303822.737242193,139750.712976463
100000,0,746429.32819884,479071.321228579
110000,0,136918.67275152,271036.174585677
120000,0,279470.80650324,82699.6141569999
130000,0,538449.076638,124407.566612709
140000,0,580898.258952,139566.204201895
150000,0,400502.256,154542.00907596
160000,0,255663.936,56610.6274049715
170000,0,0,119841.593777569
180000,0,0,11697.0385066657
190000,0,161552.16,24400.8984410507
200000,0,161552.16,88107.36
