flow,wua_rsi
497.2719612387,10792.0792079208
753.6654729303,12811.8811881188
1015.2728038761,12633.6633663366
1199.8736043817,11683.1683168317
1295.3338950916,11148.5148514851
1403.5601432484,10613.8613861386
1499.0520328629,10138.6138613861
1607.2782810196,9603.9603960396
1702.6437750158,8891.0891089109
1798.1356646303,8415.8415841584
1899.9157362545,7762.3762376238
2001.7906045924,7287.1287128713
2250.1263956183,6158.4158415842
2505.034758795,5386.1386138614
2747.2719612387,4792.0792079208
2995.8921424057,4198.0198019802
3250.9900990099,3782.1782178218
3499.7366757952,3425.7425742574
3748.5464503897,3188.1188118812
4003.8024015168,3069.3069306931
4252.6753739204,2950.495049505
4501.5799452286,2891.0891089109
4750.4845165368,2831.6831683168
4999.2942911312,2594.0594059406
5254.5186433537,2415.8415841584
5496.9770381294,2237.6237623762
5752.1697914472,2000
6007.3625447651,1762.3762376238
6498.725510849,1524.7524752475
6996.4398567516,1227.7227722772
