flow,wua_rsi
150.6401460464,3354.661591635
198.8549360252,5881.5182935803
251.8623695944,8554.8886953271
300.0970460611,11154.9674458193
348.3217792838,13718.435172038
401.2496669013,16098.9173795973
451.7016867719,18113.2545430682
499.7076686275,19871.2797352711
552.3869751459,21336.4863359941
604.9867357126,22508.8047425296
655.1504015082,23461.4222020706
698.1052154303,24121.0470633623
752.872603181,24524.5687615093
802.8672338293,24854.7988084016
850.3760534867,24782.2727869322
904.984349334,24600.018096704
957.1863801421,24307.8955323016
1006.9821459111,23905.905093725
1101.711431151,22699.1333468561
1201.1438707856,21309.3760813278
1300.5067077124,19663.3416458853
1404.6323584977,18053.987837424
1499.252268054,16444.4948235472
1600.991540288,14798.4951894586
1797.4799842499,12018.945857048
1998.8306745099,9642.187394353
2250.0666197346,7192.9377115425
2499.1150512873,5439.2626885736
2748.3225747434,4271.3640539799
2997.659360371,3579.408734941
