species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering,source
Hardhead,Alt1,juv,instream,9000,1.5492152544499413e-4,2018-11-19T20:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,9000,14.65405671480382,2018-11-19T20:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,9000,0.0015307547278371706,2018-11-19T20:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,9000,22.293253398680264,2018-11-19T20:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,10000,1.1077829229883465e-4,2018-11-20T06:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,10000,14.93793907836118,2018-11-20T06:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,10000,0.0012320178072046761,2018-11-20T06:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,10000,22.996243114336103,2018-11-20T06:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,11000,5.5437094648949646e-5,2018-11-20T16:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,11000,15.084790450398554,2018-11-20T16:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,11000,0.001003609368968639,2018-11-20T16:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,11000,23.48306731091848,2018-11-20T16:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,12000,7.615378408721017e-6,2018-11-21T02:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,12000,15.09478502489308,2018-11-21T02:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,12000,8.009239314314162e-4,2018-11-21T02:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,12000,23.86922408540881,2018-11-21T02:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,13000,0,2018-11-21T12:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,13000,14.983856784914945,2018-11-21T12:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,13000,5.862904560263889e-4,2018-11-21T12:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,13000,24.228766410547514,2018-11-21T12:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,14000,0,2018-11-21T22:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,14000,15.660971997223657,2018-11-21T22:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,14000,3.8144359893422164e-4,2018-11-21T22:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,14000,24.810957904179087,2018-11-21T22:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,15000,0,2018-11-22T08:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,floodplain,15000,16.502727621688976,2018-11-22T08:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,instream,15000,1.8720149488627114e-4,2018-11-22T08:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,adult,floodplain,15000,25.537177691214968,2018-11-22T08:00:00Z,TRUE,Alt1_hardhead.csv
Hardhead,Alt1,juv,instream,100,1.0407800136139156,2018-11-15T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,100,0.10792157539695585,2018-11-15T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,100,0.9822393011074473,2018-11-15T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,100,0.0332708549327678,2018-11-15T06:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,250,2.2675202251708226,2018-11-15T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,250,0.3979179641703325,2018-11-15T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,250,3.9206808319413993,2018-11-15T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,250,0.28680967488305725,2018-11-15T16:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,300,3.132406359898648,2018-11-16T02:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,300,0.5288627628666094,2018-11-16T02:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,300,5.534964595053194,2018-11-16T02:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,300,0.4842817643162162,2018-11-16T02:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,400,4.691282194416596,2018-11-16T12:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,400,0.7571555153291676,2018-11-16T12:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,400,8.76846500069879,2018-11-16T12:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,400,0.9814698838328744,2018-11-16T12:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,500,6.266673777181289,2018-11-16T22:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,500,1.0214369878940404,2018-11-16T22:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,500,11.802618165416982,2018-11-16T22:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,500,1.5890621282301045,2018-11-16T22:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,600,7.277243502521727,2018-11-17T08:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,600,1.3963964216888891,2018-11-17T08:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,600,14.23940628211539,2018-11-17T08:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,600,2.5485792167650927,2018-11-17T08:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,1000,8.193581460746227,2018-11-17T18:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,1000,2.9474205921809915,2018-11-17T18:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,1000,16.63410658001989,2018-11-17T18:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,1000,6.185800432780991,2018-11-17T18:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,3000,8.816533158168536,2018-11-18T04:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,3000,10.351385491859142,2018-11-18T04:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,3000,12.253376177170628,2018-11-18T04:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,3000,21.10708056624423,2018-11-18T04:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,5000,6.8294799971429345,2018-11-18T14:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,5000,17.442147939006848,2018-11-18T14:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,5000,9.986813494820803,2018-11-18T14:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,5000,32.88445217091899,2018-11-18T14:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,instream,6000,5.801963466595112,2018-11-19T00:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,juv,floodplain,6000,20.68723778473367,2018-11-19T00:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,instream,6000,9.319141282667202,2018-11-19T00:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
Hardhead,Alt1,adult,floodplain,6000,37.99095842671168,2018-11-19T00:00:00Z,FALSE,Alt1_no_lowering_hardhead.csv
