flow,wua_rsi
145.6038833895,702.1665913583
195.1722039868,792.9678921027
244.7363776485,853.2601880254
294.2964043747,883.0434791263
343.8564311008,912.8267702273
393.4206047625,973.1190661499
448.9273370636,1002.8152716044
496.5051285981,1032.6275912542
544.0787731971,1031.9309060822
595.6085943083,970.1581541691
645.1686210345,999.9414452701
698.6848242728,968.6486696299
748.2407040634,967.9229559091
797.7924369185,936.6882373666
843.3796993903,905.5115759218
890.9409031827,813.2878762846
948.4257237398,812.4460483685
997.9691627238,720.1933201826
1095.0903932423,657.7529116464
1198.1417415935,473.1893981768
1297.2410603681,380.2109562701
1396.3403791427,287.2325143633
1495.4438448529,224.7630772783
1594.547310563,162.2936401933
1792.7583889189,67.863770845
1992.9682902085,95.4408922347
2244.7038656738,30.7362568897
2496.4560288813,88.0676408316
2744.2354278344,84.4390722277
2994.0053558502,141.7994847184
