flow,wua_rsi
508.9951548346,20831.6831683168
767.2530018959,26356.4356435644
1024.6576785338,30277.2277227723
1211.0912155045,32772.2772277228
1313.7244575521,33722.7722772277
1422.5826838003,34376.2376237624
1518.6433536971,34970.297029703
1614.546029071,35267.3267326733
1716.6736886455,35267.3267326733
1825.1211291342,35148.5148514851
1914.2932378344,34792.0792079208
2022.5510848957,34316.8316831683
2270.5708868759,32594.0594059406
2505.6035390773,30455.4455445545
2766.041710554,28079.2079207921
3020.1285022119,25762.3762376238
3261.6073309459,23742.5742574257
3509.5955340215,21960.396039604
3764.1247103434,20475.2475247525
3999.5997472088,19168.3168316832
4260.7646934906,18158.4158415842
4502.8123025069,17207.9207920792
4757.6258689699,16257.4257425743
5006.1196545187,15425.7425742574
5267.4109964188,14653.4653465347
5503.2020223299,13940.5940594059
5758.1735833158,13287.1287128713
6000.4107857594,12693.0693069307
6516.7368864546,11386.1386138614
7001.2112913419,10198.0198019802
