flow_cfs,FR_spawn_wua
200,12764.958453184176
500,20315.86883519705
750,25183.54696871241
1e3,26684.482214059753
1250,26289.964953621675
1500,24876.091540687994
1750,23021.533930997728
2e3,20990.59885781286
2500,16926.13615225474
3e3,13830.723342285322
3500,12035.634001165336
4e3,10723.615564664951
4500,9830.871749453334
5e3,9018.365928123434
5500,8332.722344251037
6e3,7756.964891392906
6500,7176.910372789166
7e3,6614.300311864277
