Watershed,Flow Gage ID
American River,11446500
Antelope Creek,11379000
Battle Creek,11376550
Bear Creek,11374100
Bear River,11424000
Big Chico Creek,BIC
Butte Creek,BWC
Calaveras River,11308900
Clear Creek,11372000
Cosumnes River,11335000
Cottonwood Creek,11376000
Cow Creek,11374000
Deer Creek,11383500
Elder Creek,11379500
Feather River,GRL
Merced River,11272500
Mid South Delta,11425500
Mill Creek,11381500
Mokelumne River,11323500
North Delta,11425500
Paynes Creek,11377500
Upper Sacramento River,11377100
Sutter Bypass,N/A
Mid Sacramento River,11390500
Lower Mid Sacramento & Lower Sacramento,11425500
San Joaquin River (Upper),11251000
San Joaquin River (Lower),11274000
Stanislaus River,11303000
Stony Creek,11388000
Thomes Creek,11382000
Tuolumne River,11290000
Yolo Bypass,N/A
Yuba River,11421000
