flow_cfs,floodplain_acres,watershed,species
100,0,Tuolumne River,Fall Run
250,0,Tuolumne River,Fall Run
500,0,Tuolumne River,Fall Run
750,0,Tuolumne River,Fall Run
1000,0,Tuolumne River,Fall Run
1250,35.960743741095,Tuolumne River,Fall Run
1500,76.6787188791375,Tuolumne River,Fall Run
1750,116.874999803182,Tuolumne River,Fall Run
2000,156.85950386808,Tuolumne River,Fall Run
2250,196.849173222225,Tuolumne River,Fall Run
2500,247.43801611224,Tuolumne River,Fall Run
2750,296.77685900436,Tuolumne River,Fall Run
3000,339.788222568292,Tuolumne River,Fall Run
3250,389.465391906124,Tuolumne River,Fall Run
3500,439.142561243955,Tuolumne River,Fall Run
3750,488.254131409185,Tuolumne River,Fall Run
4000,537.365701574415,Tuolumne River,Fall Run
4250,585.901341988549,Tuolumne River,Fall Run
4500,634.436982402683,Tuolumne River,Fall Run
4750,679.894110425306,Tuolumne River,Fall Run
5000,725.35123844793,Tuolumne River,Fall Run
5250,779.108986291286,Tuolumne River,Fall Run
5500,832.866734134642,Tuolumne River,Fall Run
5750,883.86363487521,Tuolumne River,Fall Run
6000,934.860535615777,Tuolumne River,Fall Run
6250,987.846072716632,Tuolumne River,Fall Run
6500,1040.83160981749,Tuolumne River,Fall Run
6750,1085.25051470136,Tuolumne River,Fall Run
7000,1129.66941958524,Tuolumne River,Fall Run
7250,1176.903407109,Tuolumne River,Fall Run
7500,1224.13739463277,Tuolumne River,Fall Run
7750,1274.03925405286,Tuolumne River,Fall Run
8000,1323.94111347296,Tuolumne River,Fall Run
8250,1493.74483219528,Tuolumne River,Fall Run
8500,1663.54855091759,Tuolumne River,Fall Run
8750,1735.13687724332,Tuolumne River,Fall Run
9000,1806.72520356905,Tuolumne River,Fall Run
100,0,Tuolumne River,Spring Run
250,0,Tuolumne River,Spring Run
500,0,Tuolumne River,Spring Run
750,0,Tuolumne River,Spring Run
1000,0,Tuolumne River,Spring Run
1250,35.960743741095,Tuolumne River,Spring Run
1500,76.6787188791375,Tuolumne River,Spring Run
1750,116.874999803182,Tuolumne River,Spring Run
2000,156.85950386808,Tuolumne River,Spring Run
2250,196.849173222225,Tuolumne River,Spring Run
2500,247.43801611224,Tuolumne River,Spring Run
2750,296.77685900436,Tuolumne River,Spring Run
3000,339.788222568292,Tuolumne River,Spring Run
3250,389.465391906124,Tuolumne River,Spring Run
3500,439.142561243955,Tuolumne River,Spring Run
3750,488.254131409185,Tuolumne River,Spring Run
4000,537.365701574415,Tuolumne River,Spring Run
4250,585.901341988549,Tuolumne River,Spring Run
4500,634.436982402683,Tuolumne River,Spring Run
4750,679.894110425306,Tuolumne River,Spring Run
5000,725.35123844793,Tuolumne River,Spring Run
5250,779.108986291286,Tuolumne River,Spring Run
5500,832.866734134642,Tuolumne River,Spring Run
5750,883.86363487521,Tuolumne River,Spring Run
6000,934.860535615777,Tuolumne River,Spring Run
6250,987.846072716632,Tuolumne River,Spring Run
6500,1040.83160981749,Tuolumne River,Spring Run
6750,1085.25051470136,Tuolumne River,Spring Run
7000,1129.66941958524,Tuolumne River,Spring Run
7250,1176.903407109,Tuolumne River,Spring Run
7500,1224.13739463277,Tuolumne River,Spring Run
7750,1274.03925405286,Tuolumne River,Spring Run
8000,1323.94111347296,Tuolumne River,Spring Run
8250,1493.74483219528,Tuolumne River,Spring Run
8500,1663.54855091759,Tuolumne River,Spring Run
8750,1735.13687724332,Tuolumne River,Spring Run
9000,1806.72520356905,Tuolumne River,Spring Run
100,0,Tuolumne River,Steelhead
250,0,Tuolumne River,Steelhead
500,0,Tuolumne River,Steelhead
750,0,Tuolumne River,Steelhead
1000,0,Tuolumne River,Steelhead
1250,35.960743741095,Tuolumne River,Steelhead
1500,76.6787188791375,Tuolumne River,Steelhead
1750,116.874999803182,Tuolumne River,Steelhead
2000,156.85950386808,Tuolumne River,Steelhead
2250,196.849173222225,Tuolumne River,Steelhead
2500,247.43801611224,Tuolumne River,Steelhead
2750,296.77685900436,Tuolumne River,Steelhead
3000,339.788222568292,Tuolumne River,Steelhead
3250,389.465391906124,Tuolumne River,Steelhead
3500,439.142561243955,Tuolumne River,Steelhead
3750,488.254131409185,Tuolumne River,Steelhead
4000,537.365701574415,Tuolumne River,Steelhead
4250,585.901341988549,Tuolumne River,Steelhead
4500,634.436982402683,Tuolumne River,Steelhead
4750,679.894110425306,Tuolumne River,Steelhead
5000,725.35123844793,Tuolumne River,Steelhead
5250,779.108986291286,Tuolumne River,Steelhead
5500,832.866734134642,Tuolumne River,Steelhead
5750,883.86363487521,Tuolumne River,Steelhead
6000,934.860535615777,Tuolumne River,Steelhead
6250,987.846072716632,Tuolumne River,Steelhead
6500,1040.83160981749,Tuolumne River,Steelhead
6750,1085.25051470136,Tuolumne River,Steelhead
7000,1129.66941958524,Tuolumne River,Steelhead
7250,1176.903407109,Tuolumne River,Steelhead
7500,1224.13739463277,Tuolumne River,Steelhead
7750,1274.03925405286,Tuolumne River,Steelhead
8000,1323.94111347296,Tuolumne River,Steelhead
8250,1493.74483219528,Tuolumne River,Steelhead
8500,1663.54855091759,Tuolumne River,Steelhead
8750,1735.13687724332,Tuolumne River,Steelhead
9000,1806.72520356905,Tuolumne River,Steelhead
