flow_cfs,floodplain_acres,watershed
310,0,Bear River
460,54,Bear River
610,93.5,Bear River
760,132.9,Bear River
910,156.5,Bear River
927,159.1,Bear River
1060,180,Bear River
1210,198.9,Bear River
1360,214.5,Bear River
1510,227.3,Bear River
1660,240,Bear River
1810,252.8,Bear River
1960,265.5,Bear River
2110,276.2,Bear River
2260,287,Bear River
2410,296.5,Bear River
2560,305.3,Bear River
2710,317.6,Bear River
2860,327.6,Bear River
3010,335.8,Bear River
3160,345.7,Bear River
3310,354.4,Bear River
3460,363.1,Bear River
3610,372.5,Bear River
3760,382.6,Bear River
3910,392,Bear River
4060,406.2,Bear River
4210,418.2,Bear River
4360,459.5,Bear River
4510,479,Bear River
4660,497,Bear River
4810,532.4,Bear River
4960,550.7,Bear River
5110,571,Bear River
5260,593,Bear River
