flow_cfs,floodplain_acres,watershed
2600,0,Feather River
4056,0.15,Feather River
4100,15.35,Feather River
5600,199.91,Feather River
6983,325.1,Feather River
7100,335.7,Feather River
8600,503.74,Feather River
10100,674.14,Feather River
11600,799.17,Feather River
13100,946.72,Feather River
14600,1063.96,Feather River
16100,1202.54,Feather River
17600,1299.48,Feather River
19100,1448.25,Feather River
20600,1685.51,Feather River
22100,1932.27,Feather River
23600,2259.8,Feather River
25100,2633.27,Feather River
26600,2939.16,Feather River
28100,3213.1,Feather River
29600,3645.72,Feather River
31100,3970.27,Feather River
32600,4751.04,Feather River
34100,5275.78,Feather River
35600,5634.91,Feather River
37100,6016.21,Feather River
38600,6386.2,Feather River
40100,6962.96,Feather River
41600,7347.57,Feather River
43100,7755,Feather River
44600,8189.97,Feather River
46100,8561.85,Feather River
47600,8954.09,Feather River
49100,9305.87,Feather River
50600,9686.71,Feather River
52100,10033.06,Feather River
53600,10302.72,Feather River
55100,10573.6,Feather River
56600,10969.35,Feather River
