flow_cfs,floodplain_acres,watershed
755.96,0,Mill Creek
854.14,1.82,Mill Creek
952.31,5.35,Mill Creek
1050.49,8.3,Mill Creek
1148.67,11.48,Mill Creek
1246.84,14.29,Mill Creek
1345.02,17.29,Mill Creek
1443.2,20.12,Mill Creek
1541.37,22.86,Mill Creek
1639.55,25.21,Mill Creek
1737.73,27.46,Mill Creek
1835.9,29.57,Mill Creek
1934.08,31.44,Mill Creek
2032.26,33.41,Mill Creek
2130.43,34.94,Mill Creek
2228.61,36.49,Mill Creek
2326.79,37.82,Mill Creek
2424.96,39.29,Mill Creek
2523.14,40.7,Mill Creek
2621.32,42.08,Mill Creek
2719.49,43.4,Mill Creek
2817.67,44.46,Mill Creek
