flow_cfs,floodplain_acres,watershed
2214,314.3,San Joaquin River
2270,340.5,San Joaquin River
3020,1056.5,San Joaquin River
3770,1297,San Joaquin River
4520,1601,San Joaquin River
5270,1833.8,San Joaquin River
6020,2109.1,San Joaquin River
6770,2401.6,San Joaquin River
7520,2828.5,San Joaquin River
8270,3381.6,San Joaquin River
9020,3927.4,San Joaquin River
9770,4557.2,San Joaquin River
10520,5077.9,San Joaquin River
11270,5824.3,San Joaquin River
12020,6744,San Joaquin River
12770,7280.5,San Joaquin River
13520,7860.3,San Joaquin River
14270,8454,San Joaquin River
15020,8923.8,San Joaquin River
15770,9506,San Joaquin River
16520,10016.8,San Joaquin River
17270,10401.4,San Joaquin River
18020,10764.1,San Joaquin River
18770,11081.5,San Joaquin River
19520,11413.8,San Joaquin River
20270,11744.8,San Joaquin River
21020,12124.6,San Joaquin River
21770,12361.9,San Joaquin River
22520,12648.5,San Joaquin River
