flow_cfs,floodplain_acres,watershed
4463.18,0,Stony Creek
4674.59,4,Stony Creek
4886,9.1,Stony Creek
5097.42,13.2,Stony Creek
5308.83,16.5,Stony Creek
5520.24,19.9,Stony Creek
5731.66,22.8,Stony Creek
5943.07,26,Stony Creek
