total mapped area for spawning activity from charlie chamberlain FWS,,
Year,Square feet spawning area,acres
2008,464668,10.6673094582185
2009,321699,7.38519283746556
2010,314249,7.21416437098255
2011,428507,9.83716712580349
2012,508870,11.6820477502296
2013,647640,14.8677685950413
2014,566060,12.9949494949495
2015,575782,13.2181359044995
2016,248911,5.71421028466483
2017,64383,1.4780303030303
