"From source SSWD 2019, ",,,,,,,
flow_cfs,FR_spawn_sqft,FR_fry_sqft,FR_juv_sqft,ST_spawn_sqft,ST_fry_sqft,ST_juv_sqft,reach_mi 
10,,,,,,,
20,,,,,,,
30,,,,,,,
40,,,,,,,
50,,,,,,,
60,,,,,,,
70,,,,,,,
80,,,,,,,
90,,,,,,,
100,,,,,,,
125,,,,,,,
150,,,,,,,
175,,,,,,,
200,,,,,,,
250,,,,,,,
300,,,,,,,
450,,,,,,,
700,,,,,,,
10,,,,,,,
20,,,,,,,
30,,,,,,,
40,,,,,,,
50,,,,,,,
60,,,,,,,
70,,,,,,,
80,,,,,,,
90,,,,,,,
100,,,,,,,
125,,,,,,,
150,,,,,,,
175,,,,,,,
200,,,,,,,
250,,,,,,,
300,,,,,,,
450,,,,,,,
700,,,,,,,
10,,,,,,,
20,,,,,,,
30,,,,,,,
40,,,,,,,
50,,,,,,,
60,,,,,,,
70,,,,,,,
80,,,,,,,
90,,,,,,,
100,,,,,,,
125,,,,,,,
150,,,,,,,
175,,,,,,,
200,,,,,,,
250,,,,,,,
300,,,,,,,
450,,,,,,,
700,,,,,,,
