species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering
Steelhead,Alt1,fry,instream,9000,5.7234157769650833e-5,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,9000,28.40931870062928,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,juv,instream,9000,0.11616600364726966,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,9000,192.66726953903273,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,10000,0.47967411293976514,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,fry,instream,10000,4.332243811499535e-5,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,10000,28.235128620970695,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,juv,instream,10000,0.08863072050560529,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,10000,200.52016837375177,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,11000,0.4018528969731317,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,fry,instream,11000,3.747446863851429e-5,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,11000,27.835894096884807,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,juv,instream,11000,0.06757259115346696,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,11000,206.85322017228583,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,12000,0.2605463082281104,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,fry,instream,12000,3.219474919839411e-5,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,12000,27.28847661704829,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,juv,instream,12000,0.057616733442934887,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,12000,211.76349416482134,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,13000,0.1841739204967669,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,fry,instream,13000,2.8456715518765402e-5,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,13000,27.14832640846274,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,juv,instream,13000,0.05063969459992451,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,13000,215.46432624509347,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,14000,0.15967932941441287,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,fry,instream,14000,2.1823749315332477e-5,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,14000,28.638785257078936,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,juv,instream,14000,0.04511559867060541,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,14000,219.8860835760706,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,15000,0.13889035786324785,2018-11-22T08:00:00Z,FALSE
Steelhead,Alt1,fry,instream,15000,2.0133820639955125e-5,2018-11-22T08:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,15000,28.74477153777228,2018-11-22T08:00:00Z,FALSE
Steelhead,Alt1,juv,instream,15000,0.03919166931085667,2018-11-22T08:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,15000,224.78077132607183,2018-11-22T08:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,100,30.048365964695808,2018-11-15T06:00:00Z,TRUE
Steelhead,Alt1,fry,instream,100,1.8902846693045563,2018-11-15T06:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,100,5.182937921062141,2018-11-15T06:00:00Z,TRUE
Steelhead,Alt1,juv,instream,100,37.08479876327293,2018-11-15T06:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,100,9.832215752526677,2018-11-15T06:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,250,37.13042776152772,2018-11-15T16:00:00Z,TRUE
Steelhead,Alt1,fry,instream,250,0.9927780226399179,2018-11-15T16:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,250,8.723580834116884,2018-11-15T16:00:00Z,TRUE
Steelhead,Alt1,juv,instream,250,45.142316586060936,2018-11-15T16:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,250,19.281692822951207,2018-11-15T16:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,300,35.605289743079375,2018-11-16T02:00:00Z,TRUE
Steelhead,Alt1,fry,instream,300,0.7453628720317991,2018-11-16T02:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,300,9.808206819174393,2018-11-16T02:00:00Z,TRUE
Steelhead,Alt1,juv,instream,300,45.68987629451924,2018-11-16T02:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,300,22.926233133475755,2018-11-16T02:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,400,31.22810935477373,2018-11-16T12:00:00Z,TRUE
Steelhead,Alt1,fry,instream,400,0.5072841955653636,2018-11-16T12:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,400,10.77251208730641,2018-11-16T12:00:00Z,TRUE
Steelhead,Alt1,juv,instream,400,44.193652809578815,2018-11-16T12:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,400,29.051578745513115,2018-11-16T12:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,500,26.97995247483771,2018-11-16T22:00:00Z,TRUE
Steelhead,Alt1,fry,instream,500,0.3314563788458953,2018-11-16T22:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,500,13.038020703306461,2018-11-16T22:00:00Z,TRUE
Steelhead,Alt1,juv,instream,500,41.25766961589591,2018-11-16T22:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,500,35.276608298221255,2018-11-16T22:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,600,23.40343439187691,2018-11-17T08:00:00Z,TRUE
Steelhead,Alt1,fry,instream,600,0.22749689671615425,2018-11-17T08:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,600,14.33853140651254,2018-11-17T08:00:00Z,TRUE
Steelhead,Alt1,juv,instream,600,38.174936834832245,2018-11-17T08:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,600,42.30376660304374,2018-11-17T08:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,1000,13.51768542781154,2018-11-17T18:00:00Z,TRUE
Steelhead,Alt1,fry,instream,1000,0.08476027797850295,2018-11-17T18:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,1000,16.934431920061446,2018-11-17T18:00:00Z,TRUE
Steelhead,Alt1,juv,instream,1000,26.922142173672484,2018-11-17T18:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,1000,64.02601013297989,2018-11-17T18:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,3000,3.013196634940439,2018-11-18T04:00:00Z,TRUE
Steelhead,Alt1,fry,instream,3000,0.0018004775115976872,2018-11-18T04:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,3000,20.469362828440413,2018-11-18T04:00:00Z,TRUE
Steelhead,Alt1,juv,instream,3000,3.4027137480570424,2018-11-18T04:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,3000,121.07965560691993,2018-11-18T04:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,5000,1.368178407112166,2018-11-18T14:00:00Z,TRUE
Steelhead,Alt1,fry,instream,5000,3.479341749125527e-4,2018-11-18T14:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,5000,23.512773631157977,2018-11-18T14:00:00Z,TRUE
Steelhead,Alt1,juv,instream,5000,0.8302015173844924,2018-11-18T14:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,5000,159.1920160990202,2018-11-18T14:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,6000,1.0329157911310844,2018-11-19T00:00:00Z,TRUE
Steelhead,Alt1,fry,instream,6000,6.769608439539555e-4,2018-11-19T00:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,6000,24.034442869583415,2018-11-19T00:00:00Z,TRUE
Steelhead,Alt1,juv,instream,6000,0.46649822658508155,2018-11-19T00:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,6000,172.286328348195,2018-11-19T00:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,7000,0.8591895061485074,2018-11-19T10:00:00Z,TRUE
Steelhead,Alt1,fry,instream,7000,6.828413411455394e-4,2018-11-19T10:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,7000,25.660974984579,2018-11-19T10:00:00Z,TRUE
Steelhead,Alt1,juv,instream,7000,0.29823070208959757,2018-11-19T10:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,7000,182.3266264202493,2018-11-19T10:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,9000,0.5812330556055387,2018-11-19T20:00:00Z,TRUE
Steelhead,Alt1,fry,instream,9000,4.5416875046076175e-4,2018-11-19T20:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,9000,25.06259531737995,2018-11-19T20:00:00Z,TRUE
Steelhead,Alt1,juv,instream,9000,0.14513265617697974,2018-11-19T20:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,9000,194.6856123230914,2018-11-19T20:00:00Z,TRUE
Steelhead,Alt1,spawn,instream,10000,0.49811648939409975,2018-11-20T06:00:00Z,TRUE
Steelhead,Alt1,fry,instream,10000,3.3429580276981153e-4,2018-11-20T06:00:00Z,TRUE
Steelhead,Alt1,fry,floodplain,10000,25.33674381751145,2018-11-20T06:00:00Z,TRUE
Steelhead,Alt1,juv,instream,10000,0.11466142998643358,2018-11-20T06:00:00Z,TRUE
Steelhead,Alt1,juv,floodplain,10000,198.43288952738467,2018-11-20T06:00:00Z,TRUE
